Name,Hash,Id,Tag,Rarity,Tier,Type,Source,Category,Element,Ammo,Power,Archetype,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Holofoil,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Persistence,Stability,ROF,Reload,Mag,Handling,Charge Time,Draw Time,Accuracy,Charge Rate,Guard Resistance,Guard Endurance,Swing Speed,Shield Duration,Airborne Effectiveness,Ammo Generation,Heat Generated,Cooling Efficiency,Crafted,Crafted Level,Kill Tracker,Foundry,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14,Perks 15,Perks 16,Perks 17,Perks 18
Adored,1405095983,"""6917530193955976504""",,Legendary,5,Sniper Rifle,monumentoftriumph,Energy,Arc,special,463,Adaptive Frame,Handling,1,Vault,false,false,false,8,28,,100,68,70,50,45,0,0,0,46,90,38,4,60,0,0,0,0,0,0,0,0,2,36,0,0,false,0,0,,,,Adaptive Frame*,Arrowhead Brake*,Full Bore,Alloy Magazine*,Flared Magwell,Fourth Time's the Charm*,Snapshot Sights,Lone Wolf,Moving Target*,Opening Shot,No Distractions,Problem Solver*,Vanguard Determination,Kill Tracker,Tier 1: Handling*,Triumphant Pulse*,,,
Adored,1405095983,"""6917530196840500258""",,Legendary,5,Sniper Rifle,monumentoftriumph,Energy,Arc,special,540,Adaptive Frame,Stability,2,Vault,false,false,false,8,28,,77,68,70,68,45,0,0,0,54,90,38,4,52,0,0,0,0,0,0,0,0,2,36,0,0,false,0,0,,,,Adaptive Frame*,Corkscrew Rifling*,Full Bore,Accurized Rounds*,Tactical Mag,Fourth Time's the Charm*,Snapshot Sights,Jolting Feedback,Moving Target*,No Distractions,Collective Action,Problem Solver*,Vanguard Determination,Kill Tracker,Tier 2: Stability*,Triumphant Pulse*,,,
Agape,4124362340,"""6917530195376429314""",infuse,Legendary,2,Hand Cannon,kepler,Energy,Solar,primary,550,Heavy Burst,Range,4,Vault,false,false,false,8,27,,90,63,92,83,14,0,0,0,18,257,21,14,24,0,0,0,0,0,0,0,0,19,55,0,0,false,0,0,,,,Heavy Burst*,Full Bore*,Smallbore,Alloy Magazine*,Appended Mag,Moving Target*,Burning Ambition*,Exhaustive Research*,Kill Tracker,Tier 4: Range*,,,,,,,,,
Agape,4124362340,"""6917530195401796985""",infuse,Legendary,2,Hand Cannon,kepler,Energy,Solar,primary,550,Heavy Burst,Stability,1,Vault,false,false,false,8,27,,100,63,92,64,14,0,0,0,39,257,21,18,24,0,0,0,0,0,0,0,0,19,55,0,0,false,0,0,,,,Heavy Burst*,Chambered Compensator*,Extended Barrel,Appended Mag*,Light Mag,Rewind Rounds*,Fragile Focus*,Exhaustive Research*,Kill Tracker,Tier 1: Stability*,,,,,,,,,
Agape,4124362340,"""6917530195411146387""",infuse,Legendary,1,Hand Cannon,kepler,Energy,Solar,primary,550,Heavy Burst,Handling,1,Vault,false,false,false,8,27,,100,63,92,69,14,0,0,0,28,257,21,14,40,0,0,0,0,0,0,0,0,19,55,0,0,false,0,0,,,,Heavy Burst*,Arrowhead Brake*,Polygonal Rifling,Armor-Piercing Rounds*,High-Caliber Rounds,Pugilist*,Precision Instrument*,Exhaustive Research*,Kill Tracker,Tier 1: Handling*,,,,,,,,,
All or Nothing,3984776322,"""6917530194892599862""",keep,Legendary,5,Pulse Rifle,renegades,KineticSlot,Strand,primary,519,Dynamic Heat Weapon,Stability,10,Vault,false,false,false,8,28,,86,77,28,51,17,0,0,0,69,540,70,0,39,0,0,0,0,0,0,0,0,17,56,30,40,false,0,0,,,,Dynamic Heat Weapon*,Arrowhead Brake*,Polygonal Rifling,Projection Fuse,Tactical Heatsink*,Firefly,Slice*,Tear*,Headseeker,Air-Cooled Core*,Kill Tracker,Ballistics*,Masterworked: Stability*,,,,,,
All or Nothing,3984776322,"""6917530194898542171""",keep,Legendary,3,Pulse Rifle,renegades,KineticSlot,Strand,primary,516,Dynamic Heat Weapon,Cooling Efficiency,1,Vault,false,false,false,8,28,,56,77,28,33,17,0,0,0,46,540,35,0,37,0,0,0,0,0,0,0,0,17,56,26,40,false,0,0,,,,Dynamic Heat Weapon*,Fluted Barrel*,Smallbore,Ionized Heatsink*,Projection Fuse,Firefly*,Cooling Baubles,Tear*,Headseeker,Air-Cooled Core*,Kill Tracker,Tier 1: Cooling Efficiency*,,,,,,,
Alone as a god,353884603,"""6917530197646168440""",,Legendary,5,Sniper Rifle,pantheon,KineticSlot,Kinetic,special,550,Rapid-Fire Frame,Stability,1,Vault,false,false,false,8,28,,67,79,55,44,45,0,0,0,43,140,72,7,57,0,0,0,0,0,0,0,0,2,45,0,0,false,0,0,,,,Rapid-Fire Frame*,Extended Barrel*,Smallbore,Tactical Mag*,Flared Magwell,Rewind Rounds*,Lone Wolf,Lucky Shot,Kinetic Tremors*,All-Star,Closing Time,Elliptical Orbit*,Kill Tracker,Tier 1: Stability*,Triumphant Pulse*,,,,
Alone as a god,353884603,"""6917530197896595138""",,Legendary,5,Sniper Rifle,pantheon,KineticSlot,Kinetic,special,550,Rapid-Fire Frame,Stability,2,Vault,false,false,false,8,28,,67,79,55,33,45,0,0,0,49,140,63,7,62,0,0,0,0,0,0,0,0,2,45,0,0,false,0,1,,,,Rapid-Fire Frame*,Chambered Compensator*,Smallbore,Appended Mag*,Extended Mag,Stopping Power,Rewind Rounds*,Lucky Shot,Kinetic Tremors*,Closing Time,Aggregate Charge,Elliptical Orbit*,Kill Tracker,Tier 2: Stability*,Triumphant Pulse*,,,,
Alone as a god,353884603,"""6917530198084263358""",,Legendary,5,Sniper Rifle,pantheon,KineticSlot,Kinetic,special,550,Rapid-Fire Frame,Range,3,Vault,false,false,false,8,28,,67,79,55,47,45,0,0,0,36,140,63,7,57,0,0,0,0,0,0,0,0,2,45,0,0,false,0,0,,,,Rapid-Fire Frame*,Extended Barrel*,Hammer-Forged Rifling,Appended Mag*,Extended Mag,Ancillary Ordinance,Stopping Power,Rewind Rounds*,Kinetic Tremors*,All-Star,Aggregate Charge,Elliptical Orbit*,Kill Tracker,Tier 3: Range*,Triumphant Pulse*,,,,
Alone as a god,353884603,"""6917530198084263969""",,Legendary,5,Sniper Rifle,pantheon,KineticSlot,Kinetic,special,550,Rapid-Fire Frame,Stability,2,Vault,false,false,false,8,28,,67,79,55,33,45,0,0,0,55,140,72,7,62,0,0,0,0,0,0,0,0,2,45,0,0,false,0,0,,,,Rapid-Fire Frame*,Chambered Compensator*,Full Bore,Tactical Mag*,Steady Rounds,Rewind Rounds*,Lone Wolf,Lucky Shot,Kinetic Tremors*,Closing Time,Aggregate Charge,Elliptical Orbit*,Kill Tracker,Tier 2: Stability*,Triumphant Pulse*,,,,
Alone as a god,353884603,"""6917530198087592852""",,Legendary,5,Sniper Rifle,pantheon,KineticSlot,Kinetic,special,550,Rapid-Fire Frame,Reload Speed,2,Vault,false,false,false,8,28,,57,79,55,33,45,0,0,0,48,140,74,7,82,0,0,0,0,0,0,0,0,2,45,0,0,false,0,0,,,,Rapid-Fire Frame*,Fluted Barrel*,Hammer-Forged Rifling,Tactical Mag*,Alloy Magazine,Stopping Power,Rewind Rounds*,Lucky Shot,Kinetic Tremors*,Mega Kill Clip,Bait and Switch,Elliptical Orbit*,Kill Tracker,Tier 2: Reload Speed*,Triumphant Pulse*,,,,
Anarchy,2376481550,"""6917530198094641374""",,Exotic,0,Grenade Launcher,,Power,Arc,heavy,550,Arc Traps,,,Vault,false,false,false,2,5,,50,69,0,0,13,70,100,0,65,150,73,6,79,0,0,0,0,0,0,0,0,20,0,0,0,false,0,0,,,,Arc Traps*,Quick Launch*,High-Velocity Rounds*,Impromptu Ammunition*,Composite Stock*,Kill Tracker,Empty Catalyst Socket*,,,,,,,,,,,,
Annual Skate,6857689,"""6917530194257077301""",,Legendary,0,Hand Cannon,engram,Energy,Solar,primary,478,Adaptive Frame,Reload Speed,3,Vault,false,false,false,4,15,,88,80,84,40,14,0,0,0,59,140,41,12,57,0,0,0,0,0,0,0,0,10,52,0,0,false,0,0,suros,,,Adaptive Frame*,SteadyHand HCS*,Crossfire HCS,Appended Mag*,Extended Mag,Triple Tap*,Timed Payload*,Kill Tracker,Tier 3: Reload Speed*,,,,,,,,,,
Apostate,846241149,"""6917530194243369101""",,Legendary,5,Sniper Rifle,monumentoftriumph,Energy,Arc,special,477,Rapid-Fire Frame,Reload Speed,3,Vault,false,false,false,8,28,,49,73,55,48,40,0,0,0,53,140,69,6,65,0,0,0,0,0,0,0,0,2,51,0,0,false,0,0,,,,Rapid-Fire Frame*,Polygonal Rifling*,Smallbore,Accurized Rounds*,Appended Mag,Lead from Gold*,Shoot to Loot,Supercharged Magazine,Explosive Payload*,Precision Instrument,Box Breathing,Loss*,Kill Tracker,Tier 3: Reload Speed*,Triumphant Pulse*,,,,
Apostate,846241149,"""6917530194251058144""",,Legendary,5,Sniper Rifle,monumentoftriumph,Energy,Arc,special,477,Rapid-Fire Frame,Handling,2,Vault,false,false,false,8,28,,59,73,55,47,40,0,0,0,41,140,48,7,58,0,0,0,0,0,0,0,0,12,51,0,0,false,0,0,,,,Rapid-Fire Frame*,Extended Barrel*,Hammer-Forged Rifling,Extended Mag*,Flared Magwell,Lead from Gold*,Triple Tap,Butterfly,Explosive Payload*,Precision Instrument,Opening Shot,Loss*,Kill Tracker,Tier 2: Handling*,Triumphant Pulse*,,,,
Arbalest,2130065553,"""6917530193848727664""",,Exotic,0,Linear Fusion Rifle,,KineticSlot,Kinetic,special,540,Compounding Force,,,Vault,false,false,false,2,6,,87,31,41,56,25,0,0,0,55,0,28,5,20,533,0,0,0,0,0,0,0,12,34,0,0,false,0,74,,,,Compounding Force*,Extended Barrel*,Projection Fuse*,Disruption Break*,Composite Stock*,Kill Tracker,Empty Catalyst Socket*,,,,,,,,,,,,
Arbalest,2130065553,"""6917530195785720005""",,Exotic,0,Linear Fusion Rifle,,KineticSlot,Kinetic,special,550,Compounding Force,,,Vault,false,false,false,2,6,,87,31,41,56,25,0,0,0,55,0,28,5,20,533,0,0,0,0,0,0,0,12,34,0,0,false,0,57,,,,Compounding Force*,Extended Barrel*,Projection Fuse*,Disruption Break*,Composite Stock*,Kill Tracker,Empty Catalyst Socket*,,,,,,,,,,,,
Arbalest,2130065553,"""6917530195791627325""",,Exotic,0,Linear Fusion Rifle,,KineticSlot,Kinetic,special,550,Compounding Force,,,Vault,false,false,false,2,6,,87,31,41,56,25,0,0,0,55,0,28,5,20,533,0,0,0,0,0,0,0,12,34,0,0,false,0,0,,,,Compounding Force*,Extended Barrel*,Projection Fuse*,Disruption Break*,Composite Stock*,Kill Tracker,Empty Catalyst Socket*,,,,,,,,,,,,
Arc Logic,38064944,"""6917530194232951586""",,Legendary,4,Auto Rifle,moon,Energy,Arc,primary,477,Adaptive Frame,Handling,3,Vault,false,false,false,8,28,,77,65,21,50,16,0,0,0,34,600,56,39,79,0,0,0,0,0,0,0,0,10,49,0,0,false,0,0,,,,Adaptive Frame*,Arrowhead Brake*,Corkscrew Rifling,Accurized Rounds*,Extended Mag,Rolling Storm*,Supercharged Magazine,Sword Logic*,Elemental Honing,Loss*,Kill Tracker,Tier 3: Handling*,,,,,,,
Ascendancy,725408022,"""6917530193002466935""",,Legendary,0,Rocket Launcher,crucible,Power,Solar,heavy,383,Precision Frame,Handling,10,Vault,true,false,false,4,15,,70,61,0,0,20,30,61,0,52,15,27,1,66,0,0,0,0,0,0,0,0,3,35,0,0,false,0,0,,,,Precision Frame*,Quick Launch*,Impact Casing*,Impulse Amplifier*,Ambitious Assassin,Explosive Light*,Chain Reaction,Kill Tracker,Masterworked: Handling*,,,,,,,,,,
Ascendancy,1713388226,"""6917530193207898698""",,Legendary,3,Rocket Launcher,monumentoftriumph,Power,Solar,heavy,410,Precision Frame,Handling,1,Vault,false,false,false,8,28,,70,61,0,0,20,35,61,0,32,15,27,1,57,0,0,0,0,0,0,0,0,3,35,0,0,false,0,0,,,,Precision Frame*,Quick Launch*,Smart Drift Control,Black Powder*,High-Velocity Rounds,Reconstruction*,Lead From Light,Explosive Light*,Lasting Impression,Vanguard Determination*,Kill Tracker,Tier 1: Handling*,,,,,,,
Ascendancy,1713388226,"""6917530197840759843""",,Legendary,5,Rocket Launcher,monumentoftriumph,Power,Solar,heavy,550,Precision Frame,Reload Speed,5,Hunter(542),false,false,false,8,28,,70,61,0,0,20,96,42,0,48,15,63,1,41,0,0,0,0,0,0,0,0,3,35,0,0,false,0,8,,,,Precision Frame*,Confined Launch*,Hard Launch,Alloy Casing*,Black Powder,Impulse Amplifier,Reconstruction*,Slideways,Explosive Light,Lasting Impression*,Incandescent,Vanguard Determination*,Kill Tracker,Tier 5: Reload Speed*,Triumphant Pulse*,,,,
Aurora Dawn,2111625436,"""6917530194035100137""",,Legendary,3,Sword,edgeoffate,Power,Stasis,heavy,480,Wave Sword Frame,Impact,1,Vault,true,false,false,8,27,,0,0,60,0,0,0,0,0,0,0,0,76,0,0,0,0,50,40,40,40,0,0,0,0,0,false,0,0,,,,Wave Sword Frame*,Enduring Blade*,Honed Edge,Jagged Edge,Balanced Guard*,Heavy Guard,Unrelenting*,Proximity Power,Cold Steel*,Elemental Honing,Vanguard Determination*,Kill Tracker,Tier 1: Impact*,,,,,,
Aurora Dawn,2111625436,"""6917530194038689944""",,Legendary,3,Sword,edgeoffate,Power,Stasis,heavy,470,Wave Sword Frame,Impact,2,Vault,true,false,false,8,27,,0,0,63,0,0,0,0,0,0,0,0,73,0,0,0,0,50,80,0,40,0,0,0,0,0,false,0,0,,,,Wave Sword Frame*,Hungry Edge*,Honed Edge,Jagged Edge,Burst Guard*,Swordmaster's Guard,Unrelenting*,Flash Counter,Cold Steel*,Elemental Honing,Vanguard Determination*,Kill Tracker,Tier 2: Impact*,,,,,,
Aurora Dawn,2111625436,"""6917530194045265161""",,Legendary,2,Sword,edgeoffate,Power,Stasis,heavy,471,Wave Sword Frame,Impact,2,Vault,true,false,false,8,27,,0,0,63,0,0,0,0,0,0,0,0,73,0,0,0,0,50,40,40,40,0,0,0,0,0,false,0,0,,,,Wave Sword Frame*,Hungry Edge*,Enduring Blade,Jagged Edge,Balanced Guard*,Heavy Guard,Proximity Power*,Cold Steel*,Vanguard Determination*,Kill Tracker,Tier 2: Impact*,,,,,,,,
Aurora Dawn,2111625436,"""6917530196952668681""",,Legendary,5,Sword,edgeoffate,Power,Stasis,heavy,550,Wave Sword Frame,Impact,5,Vault,true,false,false,8,27,,0,0,64,0,0,0,0,0,0,0,0,73,0,0,0,0,50,82,2,40,0,0,0,0,0,false,0,0,,,,Wave Sword Frame*,Hungry Edge*,Honed Edge,Tempered Edge,Burst Guard*,Swordmaster's Guard,Unrelenting*,Proximity Power,Flash Counter,Cold Steel*,One for All,Binary Orbit,Vanguard Determination*,Kill Tracker,Tier 5: Impact*,Achronal Aurora Dawn*,Sparks Everlasting*,,
Aurora Dawn,2111625436,"""6917530197197332696""",,Legendary,5,Sword,edgeoffate,Power,Stasis,heavy,550,Wave Sword Frame,Impact,2,Vault,false,false,false,8,27,,0,0,61,0,0,0,0,0,0,0,0,74,0,0,0,0,50,41,43,40,0,0,0,0,0,false,0,0,,,,Wave Sword Frame*,Enduring Blade*,Jagged Edge,Tempered Edge,Balanced Guard*,Heavy Guard,Unrelenting*,Rimestealer,Tireless Blade,Whirlwind Blade*,Binary Orbit,Elemental Honing,Vanguard Determination*,Kill Tracker,Tier 2: Impact*,Achronal Aurora Dawn*,Sparks Everlasting*,,
Aurora Dawn,1479562935,"""6917530197455788947""",,Legendary,5,Sword,,Power,Stasis,heavy,550,Wave Sword Frame,Impact,10,Vault,false,false,false,8,27,,0,0,66,0,0,0,0,0,0,0,0,76,0,0,0,0,55,87,7,40,0,0,0,0,0,false,0,0,,,,Wave Sword Frame*,Enduring Blade*,Honed Edge,Tempered Edge,Burst Guard*,Swordmaster's Guard,Proximity Power*,Flash Counter,Tireless Blade,Cold Steel*,Whirlwind Blade,Vorpal Weapon,Accelerated Assault*,Vanguard Determination,Kill Tracker,Masterworked: Impact*,Achronal Aurora Dawn*,Sparks Everlasting*,
Aurora Dawn,2111625436,"""6917530198148035370""",,Legendary,4,Sword,edgeoffate,Power,Stasis,heavy,550,Wave Sword Frame,Impact,3,Vault,false,false,false,8,27,,0,0,63,0,0,0,0,0,0,0,0,73,0,0,0,0,50,41,43,40,0,0,0,0,0,false,0,0,,,,Wave Sword Frame*,Hungry Edge*,Enduring Blade,Jagged Edge,Balanced Guard*,Heavy Guard,Proximity Power*,Tireless Blade,Cold Steel*,Whirlwind Blade,Vanguard Determination*,Kill Tracker,Tier 3: Impact*,,,,,,
Autumn Wind,2150012407,"""6917530191886725593""",,Legendary,3,Pulse Rifle,,KineticSlot,Kinetic,primary,344,Rapid-Fire Frame,Reload Speed,4,Vault,true,false,false,8,28,,93,80,23,32,17,0,0,0,47,540,38,42,40,0,0,0,0,0,0,0,0,15,58,0,0,false,0,0,,,,Rapid-Fire Frame*,Arrowhead Brake*,Hammer-Forged Rifling,Appended Mag*,Flared Magwell,Rangefinder*,Perpetual Motion,Sword Logic*,Elemental Honing,Roar of Battle*,Nadir Focus,Kill Tracker,Tier 4: Reload Speed*,,,,,,
Autumn Wind,2150012407,"""6917530196982147760""",,Legendary,5,Pulse Rifle,,KineticSlot,Kinetic,primary,550,Rapid-Fire Frame,Handling,1,Vault,false,false,false,8,28,,73,80,23,38,17,0,0,0,74,540,34,36,27,0,0,0,0,0,0,0,0,15,58,0,0,false,0,0,,,,Rapid-Fire Frame*,Chambered Compensator*,Hammer-Forged Rifling,Ricochet Rounds*,Flared Magwell,Rangefinder*,Heating Up,Zen Moment,Headseeker*,Moving Target,Elemental Honing,Roar of Battle*,Nadir Focus,Kill Tracker,Tier 1: Handling*,Triumphant Pulse*,,,
Bad Omens,1996201272,"""6917530194324187896""",keep,Legendary,3,Rocket Launcher,gambit,Power,Void,heavy,479,Aggressive Frame,Reload Speed,2,Vault,true,false,false,8,28,,76,34,0,0,20,45,67,0,17,25,63,1,15,0,0,0,0,0,0,0,0,3,35,0,0,false,0,0,,,,Aggressive Frame*,Volatile Launch*,Hard Launch,Black Powder*,High-Velocity Rounds,Tracking Module*,Destabilizing Rounds,Cluster Bomb*,Bait and Switch,Gun and Run*,Kill Tracker,Tier 2: Reload Speed*,Gambit Leather*,,,,,,
Bad Omens,1996201272,"""6917530194355665099""",keep,Legendary,5,Rocket Launcher,gambit,Power,Void,heavy,501,Aggressive Frame,Velocity,2,Vault,true,false,false,8,28,,100,34,0,0,20,25,74,0,29,25,92,1,31,0,0,0,0,0,0,0,0,3,35,0,0,false,0,0,,,,Aggressive Frame*,Countermass*,Smart Drift Control,Alloy Casing*,High-Velocity Rounds,Tracking Module*,Auto-Loading Holster,Destabilizing Rounds,Cluster Bomb*,Bait and Switch,Elemental Honing,Gun and Run*,Kill Tracker,Tier 2: Velocity*,Gambit Leather*,Triumphant Pulse*,,,
Barrow-Dyad,1481594633,"""6917530197409492214""",,Exotic,0,Submachine Gun,heresy,KineticSlot,Strand,primary,550,Panic Response V,"Stability, Handling, Range, Aim Assistance, Reload Speed",10,Vault,true,false,false,7,26,,89,62,22,65,15,0,0,0,45,720,50,35,70,0,0,0,0,0,0,0,0,29,32,0,0,crafted,7,196,,,,Panic Response V*,Hammer-Forged Rifling*,Flared Magwell*,Taken Ambition*,Smooth Grip*,Kill Tracker,Hatchling Refit*,,,,,,,,,,,,
Bellowing Giant,1889005379,"""6917530198030031294""",,Legendary,3,Rocket Launcher,,Power,Void,heavy,550,Adaptive Frame,Reload Speed,1,Vault,false,false,true,8,28,,100,63,0,0,20,50,59,0,49,20,76,1,54,0,0,0,0,0,0,0,0,3,78,0,0,false,0,0,,,,Adaptive Frame*,Countermass*,Quick Launch,Alloy Casing*,Implosion Rounds,Air Trigger*,Impromptu Ammunition,Aggregate Charge*,Collective Demolition,Forge's Kin*,Kill Tracker,Tier 1: Reload Speed*,,,,,,,
Bellowing Giant,412265080,"""6917530198121152930""",,Legendary,4,Rocket Launcher,monumentoftriumph,Power,Void,heavy,550,Adaptive Frame,Reload Speed,3,Vault,false,false,false,8,28,,70,63,0,0,20,46,66,0,49,20,44,1,39,0,0,0,0,0,0,0,0,3,48,0,0,false,0,0,,,,Adaptive Frame*,Volatile Launch*,Confined Launch,High-Velocity Rounds*,Implosion Rounds,Tracking Module*,Lasting Impression,Bipod*,Collective Demolition,Forge's Kin*,Kill Tracker,Tier 3: Reload Speed*,,,,,,,
Bellowing Giant,1889005379,"""6917530198242367301""",,Legendary,4,Rocket Launcher,,Power,Void,heavy,550,Adaptive Frame,Blast Radius,3,Vault,false,false,true,8,28,,70,63,0,0,20,64,76,0,54,20,56,1,44,0,0,0,0,0,0,0,0,3,48,0,0,false,0,0,,,,Adaptive Frame*,Linear Compensator*,Smart Drift Control,High-Velocity Rounds*,Implosion Rounds,Tracking Module*,Quickdraw,Cluster Bomb*,Auto-Loading Holster,Forge's Kin*,Kill Tracker,Tier 3: Blast Radius*,,,,,,,
